task_id	hash	native_id	name	status	exit	submit	duration	realtime	n_instructions	n_cycles	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c2/c884ef	nf-c2c884ef69f9f58ba10d5bc401ef65f6	preprocessing:generateAnalysisMask	COMPLETED	0	2022-07-10 21:42:34.831	41.2s	40.1s	34590039857	24205421556	92.0%	48.2 MB	126.2 MB	1.5 GB	1.4 GB
2	21/801f86	nf-21801f86598a613888b1aca4224badc3	preprocessing:generateTileAllowList	COMPLETED	0	2022-07-10 21:42:34.801	49.2s	48.1s	96726885208	57243869071	94.0%	54.4 MB	162.3 MB	1.5 GB	1.4 GB
9	48/ff8d1f	nf-48ff8d1f5e1a03c3290140e259710c0c	preprocessing:preprocess (LE07_L1TP_180036_20130604_20161123_01_T1)	COMPLETED	0	2022-07-10 21:43:29.680	4m 7s	4m 6s	1722074119185	1361370688609	143.5%	4 GB	5.9 GB	1.5 GB	1.5 GB
8	42/18407b	nf-4218407ba75619084bbf9c9504615ec4	preprocessing:preprocess (LE07_L1TP_180036_20130503_20161124_01_T1)	COMPLETED	0	2022-07-10 21:43:29.701	4m 49s	4m 46s	1718320745475	1410120796549	127.2%	4 GB	5.9 GB	1.5 GB	1.5 GB
10	35/f2fc9a	nf-35f2fc9a2a1d78c26922ce78a0dc7f8a	preprocessing:preprocess (LE07_L1TP_180036_20130823_20161122_01_T1)	COMPLETED	0	2022-07-10 21:43:29.618	4m 55s	4m 54s	1771354717352	1484077226900	129.5%	4 GB	5.9 GB	1.5 GB	1.5 GB
7	8e/c02731	nf-8ec02731d50871420a414bc28ac15b32	preprocessing:preprocess (LE07_L1TP_180036_20130417_20161125_01_T1)	COMPLETED	0	2022-07-10 21:43:29.650	5m 28s	5m 27s	2074295308282	1621080303179	126.6%	4 GB	5.9 GB	1.6 GB	1.5 GB
6	b4/1b5229	nf-b41b52291e38b7e7e4d6fbaca90e84df	preprocessing:preprocess (LE07_L1TP_180036_20130316_20161125_01_T1)	COMPLETED	0	2022-07-10 21:43:29.733	5m 23s	5m 21s	1959004799739	1605511727786	127.6%	4 GB	5.9 GB	1.5 GB	1.6 GB
5	9d/b981a3	nf-9db981a3d5c536a8edeed690a57d4992	preprocessing:preprocess (LE07_L1TP_180036_20130228_20161125_01_T1)	COMPLETED	0	2022-07-10 21:47:40.268	5m 12s	5m 10s	1887101370819	1480458046966	123.0%	4 GB	5.9 GB	1.5 GB	1.6 GB
11	44/6cbdbe	nf-446cbdbe3ba52bea0790bb9db6a603c6	preprocessing:preprocess (LE07_L1TP_180036_20130908_20161121_01_T1)	COMPLETED	0	2022-07-10 21:48:59.562	4m 36s	4m 35s	1775821452493	1518377039102	142.0%	4 GB	5.9 GB	1.5 GB	1.5 GB
4	b5/e11a5e	nf-b5e11a5ec807f2ff560c0eecfd8e30bb	preprocessing:preprocess (LE07_L1TP_180036_20130212_20161126_01_T1)	COMPLETED	0	2022-07-10 21:48:29.791	5m 15s	5m 15s	1699971616365	1474735607060	120.7%	4 GB	5.9 GB	1.5 GB	1.5 GB
12	f8/49cb75	nf-f849cb75f50c0e9a6e890afbfd29f130	preprocessing:preprocess (LE07_L1TP_180036_20131010_20161120_01_T1)	COMPLETED	0	2022-07-10 21:48:59.651	4m 49s	4m 48s	1503659165691	1300190430591	117.5%	4 GB	5.9 GB	1.5 GB	1.5 GB
3	1f/5f4446	nf-1f5f4446d3d211d028a585826e5abd77	preprocessing:preprocess (LE07_L1TP_180036_20130127_20161126_01_T1)	COMPLETED	0	2022-07-10 21:48:24.534	5m 33s	5m 32s	1987671599093	1649410130867	126.4%	4 GB	5.9 GB	1.5 GB	1.6 GB
13	dd/5c4055	nf-dd5c4055f89d657b27da856a4ddde1b0	preprocessing:preprocess (LE07_L1TP_180036_20131026_20161120_01_T1)	COMPLETED	0	2022-07-10 21:52:54.734	4m 36s	4m 35s	1757418340304	1369967738374	129.0%	4.1 GB	5.9 GB	1.5 GB	1.5 GB
17	c1/d2686a	nf-c1d2686a26dad518415c6f28fba60dce	preprocessing:preprocess (LE07_L1TP_180036_20140319_20161117_01_T1)	COMPLETED	0	2022-07-10 21:53:55.321	4m 58s	4m 57s	1699728020532	1350330880277	118.3%	4 GB	5.9 GB	1.5 GB	1.5 GB
16	04/e79a6b	nf-04e79a6b484680e448c3bf73d28605bd	preprocessing:preprocess (LE07_L1TP_180036_20140215_20161118_01_T1)	COMPLETED	0	2022-07-10 21:53:59.728	5m 24s	5m 23s	1941255499428	1571677344534	124.4%	4 GB	5.9 GB	1.5 GB	1.6 GB
14	dc/5e7704	nf-dc5e77042838a83aae06942256f9e8c1	preprocessing:preprocess (LE07_L1TP_180036_20131127_20161119_01_T1)	COMPLETED	0	2022-07-10 21:53:39.745	5m 50s	5m 50s	2399805674971	1890492814353	136.0%	4 GB	5.9 GB	1.6 GB	1.6 GB
15	58/b552d4	nf-58b552d43ccb2217cdd893c6277fcd52	preprocessing:preprocess (LE07_L1TP_180036_20140130_20161118_01_T1)	COMPLETED	0	2022-07-10 21:53:49.753	5m 46s	5m 45s	2338445683836	1859959566877	135.7%	4 GB	5.9 GB	1.5 GB	1.6 GB
18	65/074fb3	nf-65074fb396e46d3e684c786238942891	preprocessing:preprocess (LE07_L1TP_180036_20140522_20161115_01_T1)	COMPLETED	0	2022-07-10 21:57:35.540	4m 17s	4m 16s	1707769002030	1266073118096	128.7%	4 GB	5.9 GB	1.5 GB	1.5 GB
19	3a/977297	nf-3a9772971e2fef80fbce521d355b433f	preprocessing:preprocess (LE07_L1TP_180036_20140607_20161114_01_T1)	COMPLETED	0	2022-07-10 21:58:59.833	4m 23s	4m 22s	1699707004561	1270596496217	126.2%	3.8 GB	5.9 GB	1.5 GB	1.5 GB
20	5f/4b7c74	nf-5f4b7c741bf2d7c6c8bcd84cdae5925c	preprocessing:preprocess (LE07_L1TP_180036_20140623_20161112_01_T1)	COMPLETED	0	2022-07-10 21:59:29.821	4m 4s	4m 3s	1704471791823	1344133900901	142.9%	3.9 GB	5.9 GB	1.5 GB	1.5 GB
21	98/80f52b	nf-9880f52b8428d217767b9824edbfca1f	preprocessing:preprocess (LE07_L1TP_180036_20140709_20161113_01_T1)	COMPLETED	0	2022-07-10 21:59:36.000	4m 38s	4m 37s	1725753919358	1341028268096	125.5%	3.9 GB	5.9 GB	1.5 GB	1.5 GB
22	a0/704be5	nf-a0704be5fed7e85f92f16e1ff860a7a7	preprocessing:preprocess (LE07_L1TP_180036_20140725_20161111_01_T1)	COMPLETED	0	2022-07-10 21:59:39.800	4m 38s	4m 37s	1727804918953	1344952984003	125.6%	4 GB	5.9 GB	1.5 GB	1.5 GB
23	e2/ede2fb	nf-e2ede2fbdfae2307e971e8ee7340dfad	preprocessing:preprocess (LE07_L1TP_180036_20140810_20161112_01_T1)	COMPLETED	0	2022-07-10 22:02:00.182	3m 59s	3m 57s	1731256526789	1286441159168	140.4%	4.1 GB	5.9 GB	1.5 GB	1.5 GB
